PAPER_ID,DATABASE,CV_GROUP_V4,PAPER_DOI,CITATION,PAPER_FIRST_AUTHOR,PAPER_YEAR,N_SAMPLES
PAPER|GEOROC|CITATION_ID|18677,GEOROC,PAPER|GEOROC|CITATION_ID|18677,,[18677] SHELLNUTT J. G.(2014)  [GeoReM [8415] ],SHELLNUTT,2014,61
PAPER|GEOROC|CITATION_ID|18406,GEOROC,PAPER|GEOROC|CITATION_ID|18406,,[18406] SHETH H. C. (2014),SHETH,2014,18
PAPER|GEOROC|CITATION_ID|19021,GEOROC,PAPER|GEOROC|CITATION_ID|19021,,[19021] SHRIVASTAVA J. P. (2014),SHRIVASTAVA,2014,39
PAPER|GEOROC|CITATION_ID|18767,GEOROC,PAPER|GEOROC|CITATION_ID|18767,,[18767] SINTON J. M. (2014),SINTON,2014,62
PAPER|PETDB|CITATION_SHA1|0868b733e6d34e17,PetDB,PAPER|PETDB|CITATION_SHA1|0868b733e6d34e17,,"Sinton, C. W., Harpp, K. S., ... Christie, D. M. (2014). A PRELIMINARY SURVEY OF THE NORTHEAST SEAMOUNTS, GALÁPAGOS PLATFORM. A NATURAL LABORATORY FOR THE EARTH SCIENCES, 362.",SINTON,2014,13
PAPER|GEOROC|CITATION_ID|18072,GEOROC,PAPER|GEOROC|CITATION_ID|18072,,[18072] TAMURA Y.(2014)  [GeoReM [7895] ],TAMURA,2014,33
PAPER|GEOROC|CITATION_ID|18506,GEOROC,PAPER|GEOROC|CITATION_ID|18506,,[18506] THI T. N. (2014),THI,2014,1
PAPER|GEOROC|CITATION_ID|26660,GEOROC,PAPER|GEOROC|CITATION_ID|26660,,[26660] WEHRMANN H. (2014),WEHRMANN,2014,23
PAPER|GEOROC|CITATION_ID|19846,GEOROC,PAPER|GEOROC|CITATION_ID|19846,,[19846] WEI XUN (2014),WEI,2014,25
PAPER|GEOROC|CITATION_ID|18454,GEOROC,PAPER|GEOROC|CITATION_ID|18454,,[18454] WOLELA A. (2014),WOLELA,2014,12
PAPER|GEOROC|CITATION_ID|21819,GEOROC,PAPER|GEOROC|CITATION_ID|21819,,[21819] XIA YING (2014),XIA,2014,7
PAPER|GEOROC|CITATION_ID|18860,GEOROC,PAPER|GEOROC|CITATION_ID|18860,,[18860] YANG XIAN (2014),YANG,2014,11
PAPER|PETDB|CITATION_SHA1|bc66d85deffc8151,PetDB,PAPER|PETDB|CITATION_SHA1|bc66d85deffc8151,,"Yang Yang, A., Zhou, M., ... Xu, J. (2014). CHALCOPHILE ELEMENTAL COMPOSITIONS OF MORBS FROM THE ULTRA-SLOW-SPREADING SOUTHWEST INDIAN RIDGE AND CONTROLS OF LITHOSPHERIC STRUCTURE ON S-SATURATED DIFFERENTIATION. CHEMICAL GEOLOGY, 382, 1-13.",YANGYANG,2014,14
PAPER|PETDB|CITATION_SHA1|2ab1ccc66f903f63,PetDB,PAPER|PETDB|CITATION_SHA1|2ab1ccc66f903f63,,"Yi, S., Oh, C., ... Moon, J. (2014). GEOCHEMISTRY AND PETROGENESIS OF MAFIC-ULTRAMAFIC ROCKS FROM THE CENTRAL INDIAN RIDGE, LATITUDE 8°–17° S: DENUDATION OF MANTLE HARZBURGITES AND GABBROIC ROCKS AND COMPOSITIONAL VARIATION OF BASALTS. INT GEOL REV, 29.",YI,2014,46
PAPER|GEOROC|CITATION_ID|19324,GEOROC,PAPER|GEOROC|CITATION_ID|19324,,[19324] BEGUELIN P. (2015),BEGUELIN,2015,1
PAPER|GEOROC|CITATION_ID|19274,GEOROC,PAPER|GEOROC|CITATION_ID|19274,,[19274] BERNARDI M. I. (2015),BERNARDI,2015,5
PAPER|GEOROC|CITATION_ID|19736,GEOROC,PAPER|GEOROC|CITATION_ID|19736,,[19736] BRENNA M. (2015),BRENNA,2015,15
PAPER|GEOROC|CITATION_ID|19945,GEOROC,PAPER|GEOROC|CITATION_ID|19945,,[19945] BUCCHI F. (2015),BUCCHI,2015,19
PAPER|GEOROC|CITATION_ID|19127,GEOROC,PAPER|GEOROC|CITATION_ID|19127,,[19127] CABATO J. A. (2015),CABATO,2015,7
PAPER|GEOROC|CITATION_ID|19381,GEOROC,PAPER|GEOROC|CITATION_ID|19381,,[19381] CHEN SHUANG-SHUANG(2015)  [GeoReM [8870] ],CHEN,2015,19
PAPER|PETDB|CITATION_SHA1|5cd3f87ed91cebe8,PetDB,PAPER|PETDB|CITATION_SHA1|5cd3f87ed91cebe8,,"Colman, A., Sinton, J. M., ... Wanless, V. D. (2015). CONSTRAINTS FROM MELT INCLUSIONS ON DEPTHS OF MAGMA RESIDENCE AT INTERMEDIATE MAGMA SUPPLY ALONG THE GALÁPAGOS SPREADING CENTER. EARTH PLANET SCI LETT, 412, 131.",COLMAN,2015,15
PAPER|GEOROC|CITATION_ID|19432,GEOROC,PAPER|GEOROC|CITATION_ID|19432,,[19432] CUCCINIELLO C. (2015),CUCCINIELLO,2015,15
PAPER|GEOROC|CITATION_ID|19648,GEOROC,PAPER|GEOROC|CITATION_ID|19648,,[19648] DELAVAULT H.(2015)  [GeoReM [8638] ],DELAVAULT,2015,24
PAPER|GEOROC|CITATION_ID|19858,GEOROC,PAPER|GEOROC|CITATION_ID|19858,,[19858] ESTRADA S. (2015),ESTRADA,2015,9
PAPER|GEOROC|CITATION_ID|19601,GEOROC,PAPER|GEOROC|CITATION_ID|19601,,[19601] GARAPIC G.(2015)  [GeoReM [8861] ],GARAPIC,2015,10
PAPER|GEOROC|CITATION_ID|19624,GEOROC,PAPER|GEOROC|CITATION_ID|19624,,[19624] GARCIA M. O.(2015)  [GeoReM [8628] ],GARCIA,2015,51
PAPER|GEOROC|CITATION_ID|20921,GEOROC,PAPER|GEOROC|CITATION_ID|20921,,[20921] GARCIA M. O. (2015),GARCIA,2015,4
PAPER|GEOROC|CITATION_ID|19202,GEOROC,PAPER|GEOROC|CITATION_ID|19202,,[19202] HAYES B. (2015),HAYES,2015,2
PAPER|GEOROC|CITATION_ID|19776,GEOROC,PAPER|GEOROC|CITATION_ID|19776,,[19776] HAYES B. (2015),HAYES,2015,15
PAPER|GEOROC|CITATION_ID|19567,GEOROC,PAPER|GEOROC|CITATION_ID|19567,,[19567] HIRAHARA Y.(2015)  [GeoReM [9077] ],HIRAHARA,2015,6
PAPER|GEOROC|CITATION_ID|19600,GEOROC,PAPER|GEOROC|CITATION_ID|19600,,[19600] HUANG HE(2015)  [GeoReM [8859] ],HUANG,2015,10
PAPER|GEOROC|CITATION_ID|20929,GEOROC,PAPER|GEOROC|CITATION_ID|20929,,[20929] HUGHES H. S. R.(2015)  [GeoReM [8910] ],HUGHES,2015,31
PAPER|GEOROC|CITATION_ID|19784,GEOROC,PAPER|GEOROC|CITATION_ID|19784,,[19784] JACKSON M. G.(2015)  [GeoReM [8836] ],JACKSON,2015,1
PAPER|GEOROC|CITATION_ID|25294,GEOROC,PAPER|GEOROC|CITATION_ID|25294,,[25294] LIAO MINGYANG (2015),LIAO,2015,15
PAPER|GEOROC|CITATION_ID|19249,GEOROC,PAPER|GEOROC|CITATION_ID|19249,,[19249] LIU JIAN-QIANG (2015),LIU,2015,79
PAPER|GEOROC|CITATION_ID|20793,GEOROC,PAPER|GEOROC|CITATION_ID|20793,,[20793] LIU SHENG-AO(2015)  [GeoReM [8639] ],LIU,2015,10
PAPER|GEOROC|CITATION_ID|19680,GEOROC,PAPER|GEOROC|CITATION_ID|19680,,[19680] MANCINI A. (2015),MANCINI,2015,27
PAPER|GEOROC|CITATION_ID|19914,GEOROC,PAPER|GEOROC|CITATION_ID|19914,,[19914] MORGADO E. (2015),MORGADO,2015,16
PAPER|PETDB|CITATION_SHA1|8ac4b810c9b34dd9,PetDB,PAPER|PETDB|CITATION_SHA1|8ac4b810c9b34dd9,,"Murton, B. J., Rona, P. (2015). CARLSBERG RIDGE AND MID-ATLANTIC RIDGE: COMPARISON OF SLOW SPREADING CENTRE ANALOGUES. DEEP SEA RESEARCH PART II: TOPICAL STUDIES IN OCEANOGRAPHY, 121, 84.",MURTON,2015,27
PAPER|GEOROC|CITATION_ID|19904,GEOROC,PAPER|GEOROC|CITATION_ID|19904,,[19904] PIOLI L. (2015),PIOLI,2015,2
PAPER|GEOROC|CITATION_ID|19928,GEOROC,PAPER|GEOROC|CITATION_ID|19928,,[19928] SAFONOVA I. YU. (2015),SAFONOVA,2015,7
PAPER|GEOROC|CITATION_ID|19287,GEOROC,PAPER|GEOROC|CITATION_ID|19287,,[19287] SAKHNO V. G. (2015),SAKHNO,2015,10
